Code,Description,Theta_r,Theta_s,Alpha,Npar,Usedmodel
3206,UNSODA(lab),0.138234,0.337021,0.026247,1.891991,
3210,UNSODA(lab),0,0.469,0.003864,1.221894,
3211,UNSODA(lab),0.225953,0.44599,0.010039,1.813036,
3212,UNSODA(lab),0.245044,0.447231,0.020951,1.652472,
3213,UNSODA(lab),0.3,0.527,0.011254,1.600862,
3214,UNSODA(lab),0,0.603,0.015208,1.143203,
3220,UNSODA(lab),0.241777,0.403588,0.018047,1.566015,
3221,UNSODA(lab),0.206311,0.430189,0.021425,2.209933,
3222,UNSODA(lab),0.288383,0.449057,0.028612,1.690609,
3223,UNSODA(lab),0.3,0.4881,0.021805,1.400036,
3224,UNSODA(lab),0.000002,0.5302,0.01997,1.137022,
3225,UNSODA(lab),0.3,0.520755,0.027605,1.450514,
3240,UNSODA(lab),0.138509,0.477,0.007642,1.382502,
3241,UNSODA(lab),0.160127,0.53,0.007015,1.524485,
3242,UNSODA(lab),0.159873,0.492,0.007974,1.501447,
3243,UNSODA(lab),0.156448,0.55,0.008966,1.468288,
3250,UNSODA(lab),0.045633,0.538,0.011419,1.29811,
3251,UNSODA(lab),0,0.501999,0.027287,1.113499,
3252,UNSODA(lab),0.172523,0.457849,0.005348,1.367831,
3253,UNSODA(lab),0.076553,0.490231,0.008731,1.259854,
3260,UNSODA(lab),0.070876,0.449033,0.010915,1.593897,
3261,UNSODA(lab),0.070446,0.453862,0.010642,1.718817,
3262,UNSODA(lab),0.073319,0.40461,0.008139,1.794671,
3263,UNSODA(lab),0.082968,0.427426,0.007528,1.657732,
3264,UNSODA(lab),0.103513,0.491,0.008195,1.616294,
3281,UNSODA(lab),0.000001,0.363731,0.051177,1.079637,
3282,UNSODA(lab),0,0.409,0.998996,1.039907,
3283,UNSODA(lab),0,0.40047,0.072101,1.085773,
3290,UNSODA(lab),0,0.450367,0.106695,1.227321,
3291,UNSODA(lab),0,0.366188,0.028328,1.245834,
3292,UNSODA(lab),0,0.317565,0.044559,1.122825,
3293,UNSODA(lab),0,0.33731,0.017451,1.139232,
3300,UNSODA(lab),0,0.378472,0.026812,1.223549,
3301,UNSODA(lab),0,0.343576,0.019051,1.223992,
3302,UNSODA(lab),0,0.35713,0.02537,1.154947,
3303,UNSODA(lab),0.000057,0.339263,0.012519,1.176669,
3310,UNSODA(lab),0,0.39022,0.022409,1.229777,
3311,UNSODA(lab),0,0.36908,0.032261,1.213477,
3312,UNSODA(lab),0,0.436948,0.145646,1.145852,
3313,UNSODA(lab),0,0.422071,0.216559,1.12922,
3320,UNSODA(lab),0,0.369101,0.009352,1.303432,
3321,UNSODA(lab),0.000001,0.400595,0.023708,1.296641,
3322,UNSODA(lab),0,0.359639,0.112716,1.204645,
3323,UNSODA(lab),0,0.335849,0.156657,1.164985,
3330,UNSODA(lab),0.048992,0.430189,0.07422,1.515195,
3331,UNSODA(lab),0.034,0.421724,0.048075,2.415722,
3332,UNSODA(lab),0.028,0.366856,0.039843,3.502335,
3340,UNSODA(lab),0.018,0.329136,0.04726,2.337428,
3380,UNSODA(lab),0,0.375178,0.005561,1.300763,
3381,UNSODA(lab),0.000009,0.414801,0.018648,1.181047,
3390,UNSODA(lab),0,0.415125,0.029517,1.191902,
3391,UNSODA(lab),0.3,0.398986,0.029777,1.77991,
3392,UNSODA(lab),0.000471,0.376111,0.006686,1.159823,
3393,UNSODA(lab),0.000028,0.355417,0.005309,1.119358,
3395,UNSODA(lab),0,0.344582,0.001315,1.289984,
4000,UNSODA(lab),0.045681,0.380587,0.021731,2.304426,
4001,UNSODA(lab),0.026051,0.342159,0.018968,2.038005,
4010,UNSODA(lab),0.085996,0.425619,0.009171,3.834386,
4011,UNSODA(lab),0.056528,0.414531,0.021579,1.703901,
4020,UNSODA(lab),0.073675,0.409551,0.022956,2.041774,
4021,UNSODA(lab),0.035008,0.404385,0.022295,2.169851,
4030,UNSODA(lab),0.041495,0.415368,0.011406,1.324655,
