labsampnum,db_13b,w0,w6clodVMW,w10cldVMW,w3cldVMW,w15l2VMW,COLEws,adod,cec7_cly,w15cly,result_source_key,latitude_decimal_degrees,longitude_decimal_degrees,lab_texture_class,sand_tot_psa,silt_tot_psa,clay_tot_psa,db_od,alpha,Ko,Ks,Lpar,npar,theta_r,theta_s,ten_npar,ten_alpha
03N04958,1.3,0.509433962,0.4927,0.4875,0.481,0.3848,0.071,1.049,0.35,0.46,183545,37.1865005,-86.0410309,c,3.6,31.9,64.5,1.6,-1.510306098,0.846167882,0.864223736,-7.140354451,0.05043166,0.102483897,0.535340347,1.123134221,0.030881181
03N04959,1.32,0.501886792,0.48972,0.4884,0.47916,0.3366,0.071,1.043,0.33,0.45,183546,37.1865005,-86.0410309,c,4,39.9,56.1,1.62,-2.049684579,0.303348526,0.754154385,-1.27562252,0.07763409,0.086920797,0.528220546,1.195732655,0.008918985
03N04960,1.27,0.520754717,0.52197,0.51562,0.508,0.35814,0.088,1.047,0.33,0.45,183547,37.1865005,-86.0410309,c,4,33.8,62.2,1.64,-2.127904364,0.23881918,0.830008288,-0.921407174,0.078198713,0.087111141,0.549678801,1.19728823,0.00744896
03N04961,1.28,0.516981132,0.4992,0.48384,0.4672,0.3328,0.094,1.043,0.33,0.44,183548,37.1865005,-86.0410309,c,8.7,32.5,58.8,1.68,-1.908241009,0.482563365,1.044367401,-2.010694797,0.07361907,0.088264119,0.533895927,1.184729138,0.012352617
03N04962,1.35,0.490566038,0.4914,0.48465,0.4752,0.3321,0.053,1.041,0.32,0.45,183549,37.1865005,-86.0410309,c,8.8,36.1,55.1,1.58,-2.093648974,0.260441308,0.689824891,-1.032962502,0.079143788,0.082888136,0.517019613,1.199896504,0.008060297
03N04963,1.99,0.249056604,0.15721,0.15323,0.13532,0.05174,0.013,1.004,0.64,0.79,183550,37.1865005,-86.0410309,fs,91.6,5.1,3.3,2.07,-1.511044213,1.232884591,1.285921117,-1.440303442,0.124481725,0.020985341,0.270464538,1.331930994,0.030828741
04N00297,0.63,0.762264151,0.44352,0.42966,0.41013,0.13734,0.023,1.029,2.52,2,188168,48.7205544,-120.6586075,fsl,53.5,35.6,10.9,0.68,-2.137770415,0.623166327,2.554424299,0.689333665,0.153947307,0.045235822,0.589378619,1.425434635,0.007281646
04N00298,0.64,0.758490566,0.49088,0.47936,0.46464,0.13824,0.019,1.035,3.68,3.04,188169,48.7205544,-120.6586075,fsl,57.6,35.3,7.1,0.68,-2.42826761,0.267425131,2.245219803,0.981385532,0.20625536,0.056960325,0.583581991,1.607886393,0.003730202
04N00299,0.86,0.675471698,0.32164,0.3139,0.30272,0.07998,0.011,1.019,2.25,1.94,188170,48.7205544,-120.6586075,cosl,73.1,22.1,4.8,0.9,-1.898793004,0.995869813,2.487169818,0.297184638,0.12710069,0.023873821,0.5249359,1.339987324,0.012624291
04N00300,1.46,0.449056604,0.17228,0.16644,0.15914,0.08906,0.005,1.011,1.14,0.76,188171,48.7205544,-120.6586075,lcos,81,11,8,1.51,-1.282816573,1.577820077,2.10097405,-1.324526102,0.153898441,0.041620159,0.404123208,1.425274257,0.052141489
04N00301,1.52,0.426415094,0.16264,0.15504,0.14592,0.05168,0.004,1.007,1.02,0.74,188172,48.7205544,-120.6586075,s,91.3,4.1,4.6,1.54,-1.389605696,1.457087088,2.098477191,-1.238971665,0.134693794,0.023656512,0.38679602,1.363621355,0.040775031
04N00764,0.83,0.686792453,0.48721,0.4482,0.40255,0.08881,0.031,1.021,2.82,1.6,190196,48.7224998,-116.4630585,fsl,49.8,43.5,6.7,0.92,-2.536472795,0.199479194,2.248939716,1.3113343,0.234251291,0.043103834,0.510765201,1.714949323,0.00290755
