Code,Description,Sand,Silt,Clay,Gravel,Bulkdensity,Porosity,Particledensity,Organicmatter,Organiccarbon,Theta10,Theta33,Theta1500,Textureclass,Theta_r_fitted,Theta_s_fitted,Alpha_fitted,Npar_fitted,Theta_r_Full,Theta_s_Full,Alpha_Full,N_Full,Theta_r_SSC,Theta_s_SSC,Alpha_SSC,N_SSC,Theta_r_SSCBD,Theta_s_SSCBD,Alpha_SSCBD,N_SSCBD
2381,UNSODA(lab),69,21,10,,1.44,,,,,,0.152782496,0.144335877,8,0.143405,0.377117,0.024828,2.527505,0.14447,0.39096,0.03618,3.05414,0.04227,0.38499,0.03422,1.41984,0.04419,0.39826,0.03132,1.4862
2382,UNSODA(lab),56,30,14,,1.45,,,,,,0.093257421,0.090607273,8,0.090513,0.352301,0.02345,3.227061,0.09478,0.36687,0.03391,3.66755,0.04941,0.38882,0.02064,1.40837,0.04858,0.38881,0.01898,1.44615
2383,UNSODA(lab),77,16,7,,1.47,,,,,,0.040796509,0.04074109,4,0.040741,0.363459,0.02335,5.244978,0.05309,0.36875,0.03518,4.06813,0.04046,0.38498,0.03983,1.56367,0.04281,0.39335,0.03833,1.6498
2384,UNSODA(lab),93,6,1,,1.46,,,,,,0.072708843,0.072304924,5,0.072302,0.363685,0.022769,4.259633,0.07061,0.38912,0.03345,4.14636,0.04615,0.38315,0.03791,3.15134,0.04844,0.39605,0.03571,3.20891
2385,UNSODA(lab),93,6,1,,1.46,,,,,,0.085399448,0.085106925,5,0.085106,0.393062,0.018865,4.803848,0.08206,0.39103,0.0326,4.15977,0.04615,0.38315,0.03791,3.15134,0.04844,0.39605,0.03571,3.20891
2390,UNSODA(lab),42,27,31,,1.3,,,,,,0.27927919,0.238954052,2,0.225711,0.440478,0.012865,1.940728,0.18631,0.46412,0.05574,1.5498,0.07733,0.41669,0.01778,1.3534,0.08181,0.46269,0.01408,1.42849
2391,UNSODA(lab),34,33,33,,1.3,,,,,,0.248929987,0.192671098,2,0.131084,0.426942,0.024008,1.437426,0.1334,0.45729,0.05301,1.45369,0.08104,0.43354,0.01376,1.38696,0.08526,0.46546,0.01216,1.44624
2392,UNSODA(lab),20,45,35,,1.31,,,,,,0.25206013,0.185235396,2,0.046249,0.42793,0.029688,1.265659,0.1183,0.45057,0.04906,1.39029,0.08825,0.46302,0.00986,1.45038,0.08946,0.47186,0.00995,1.4742
2393,UNSODA(lab),44,28,28,,1.54,,,,,,0.111954877,0.106180284,2,0.105972,0.342296,0.015852,3.219805,0.12338,0.35648,0.03798,2.90668,0.07371,0.41122,0.01733,1.37306,0.06922,0.39479,0.01563,1.36765
2394,UNSODA(lab),64,13,23,,1.52,,,,,,0.106543332,0.099552055,7,0.099285,0.350238,0.015324,3.183663,0.11016,0.37958,0.04024,2.87679,0.06334,0.38148,0.02785,1.32403,0.06424,0.40078,0.02385,1.36479
2395,UNSODA(lab),48,24,28,,1.5,,,,,,0.088923868,0.005585036,7,0,0.407087,0.006594,2.871175,0.02073,0.3675,0.04391,1.43679,0.07256,0.40453,0.02036,1.34567,0.07058,0.40711,0.017,1.36763
2400,UNSODA(lab),46,38,16,,1.08,,,,,,0.292839609,0.237437186,3,0.196731,0.454139,0.01569,1.58313,0.16412,0.51434,0.05749,1.52475,0.05444,0.39582,0.01184,1.47418,0.06095,0.46949,0.00825,1.5513
2401,UNSODA(lab),43,40,17,,1.25,,,,,,0.244653174,0.197327612,3,0.150069,0.415036,0.026936,1.465694,0.14036,0.45221,0.05193,1.60763,0.05673,0.39919,0.01013,1.49611,0.05941,0.42732,0.0084,1.56079
2402,UNSODA(lab),29,46,25,,1.31,,,,,,0.268158602,0.221246305,3,0.169813,0.444823,0.031616,1.434121,0.16407,0.44503,0.05347,1.51484,0.07327,0.42869,0.00746,1.53217,0.07486,0.43897,0.00743,1.56931
2403,UNSODA(lab),57,32,11,,1.32,,,,,,0.294380004,0.160102555,8,0,0.426013,0.005119,1.472467,0.0526,0.43555,0.01705,1.32068,0.04338,0.38831,0.02098,1.41542,0.04511,0.40817,0.01729,1.46673
2405,UNSODA(lab),40,55,5,,1.41,,,,,,0.258183416,0.184415994,12,0.183622,0.446332,0.00432,4.104465,0.08249,0.39683,0.0437,1.34958,0.03581,0.42327,0.0065,1.61565,0.03526,0.35349,0.00947,1.53954
2410,UNSODA(lab),56,26,18,,1.2,,,,,,0.234139218,0.200028794,8,0.190923,0.436338,0.01585,2.039326,0.16741,0.47777,0.05118,1.88351,0.05674,0.39043,0.02213,1.38519,0.06181,0.46155,0.01542,1.46151
2411,UNSODA(lab),54,25,21,,1.5,,,,,,0.256294232,0.176842886,7,0,0.403475,0.016003,1.258358,0.07675,0.40129,0.03877,1.30036,0.06197,0.39348,0.02156,1.37384,0.06016,0.39528,0.01858,1.40261
2412,UNSODA(lab),47,25,28,,1.4,,,,,,0.211971194,0.128081144,7,0.000001,0.40092,0.017962,1.345526,0.06557,0.42136,0.03951,1.3632,0.07286,0.4062,0.0196,1.35216,0.07431,0.43217,0.01538,1.41214
2414,UNSODA(lab),66,30,4,,1.43,,,,,,0.102126522,0.012210659,8,0.000001,0.409732,0.00763,2.440681,0.01504,0.36547,0.0474,1.40179,0.03032,0.39621,0.03486,1.42322,0.03269,0.37613,0.03519,1.45736
2420,UNSODA(lab),81,11,8,,1.47,,,,,,0.18388839,0.181743445,4,0.181686,0.398939,0.020373,3.408994,0.20474,0.3944,0.0312,3.52204,0.04594,0.38073,0.03666,1.69004,0.04791,0.39967,0.03574,1.79223
2421,UNSODA(lab),80,12,8,,1.47,,,,,,0.143215455,0.140008875,4,0.139884,0.340493,0.020013,3.169934,0.14826,0.39049,0.0332,3.52873,0.04493,0.38152,0.03731,1.64901,0.04702,0.39879,0.03613,1.74878
2422,UNSODA(lab),87,7,6,,1.4,,,,,,0.111922198,0.111543562,4,0.11154,0.374425,0.025137,4.088088,0.11486,0.41299,0.03217,4.1081,0.04942,0.3784,0.0345,2.1399,0.05062,0.42052,0.03561,2.16786
2423,UNSODA(lab),89,5,6,,1.44,,,,,,0.144887207,0.14362459,5,0.143606,0.341249,0.018364,3.796131,0.15592,0.40754,0.03164,3.86338,0.05232,0.37607,0.03248,2.33949,0.05285,0.4101,0.03347,2.40236
2424,UNSODA(lab),93,4,3,,1.46,,,,,,0.111398778,0.111001392,5,0.111,0.359383,0.016955,4.736625,0.11221,0.39842,0.0319,4.05997,0.05097,0.37787,0.03399,3.02593,0.05192,0.40029,0.0335,3.08612
2425,UNSODA(lab),93,4,3,,1.46,,,,,,0.081556789,0.08100245,5,0.081,0.356026,0.017104,4.583714,0.08004,0.39465,0.03373,4.04537,0.05097,0.37787,0.03399,3.02593,0.05192,0.40029,0.0335,3.08612
2430,UNSODA(lab),32,37,31,,1.34,,,,,,0.277818878,0.238314451,2,0.216834,0.441152,0.018989,1.700003,0.18816,0.44672,0.05473,1.5395,0.07987,0.4352,0.01158,1.42817,0.08206,0.4497,0.01067,1.47425
2431,UNSODA(lab),23,43,34,,1.34,,,,,,0.272883952,0.235887413,2,0.210455,0.431209,0.024243,1.601024,0.19899,0.44501,0.05472,1.57707,0.08611,0.45599,0.01002,1.44799,0.08705,0.45965,0.00998,1.47548
2432,UNSODA(lab),21,37,42,,1.46,,,,,,0.253989174,0.227414079,1,0.204989,0.393684,0.039946,1.520224,0.2063,0.41335,0.05316,1.64809,0.0922,0.46895,0.01332,1.35536,0.08996,0.44234,0.01304,1.36913
2433,UNSODA(lab),31,35,34,,1.59,,,,,,0.22987956,0.187826106,2,0.119622,0.360177,0.032852,1.32304,0.12559,0.37281,0.05206,1.43112,0.08291,0.44048,0.01283,1.39543,0.07594,0.3911,0.0133,1.35343
2434,UNSODA(lab),53,23,24,,1.74,,,,,,0.204034413,0.154923207,7,0,0.343396,0.049038,1.184967,0.07931,0.33258,0.04909,1.36298,0.06645,0.39566,0.02209,1.35399,0.05301,0.33759,0.02714,1.22997
